type,total ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc:#,maxms,summs,sdvms,mb
total,5602,5602,3891,3891,5.6,3.3,10.7,71.2,161.9,169.6,1.0,0.00000,0,0,0,0,0,0
total,17044,11442,8001,8001,4.4,3.5,10.4,18.9,27.4,59.1,2.0,0.20469,0,1,18,18,0,214
total,28920,11876,8671,8671,4.2,3.3,9.7,22.7,44.6,51.8,3.0,0.15265,0,1,25,25,0,189
total,41826,12906,9781,9781,3.9,3.0,9.1,18.5,32.1,62.0,4.0,0.13056,0,0,0,0,0,0
total,53558,11732,9028,9028,4.3,3.4,9.3,18.6,53.5,58.7,5.0,0.10524,0,1,43,43,0,187
total,64851,11293,8997,8997,4.4,3.5,10.5,21.3,45.9,49.3,6.0,0.08778,0,1,31,31,0,189
total,77441,12590,10217,10217,3.9,3.0,9.1,23.9,32.6,52.5,7.0,0.07929,0,0,0,0,0,0
total,89518,12077,10020,10020,4.2,3.0,11.0,24.9,47.7,65.5,8.0,0.07140,0,1,31,31,0,195
total,100000,12413,10326,10326,4.0,2.8,11.0,25.0,38.2,71.4,8.8,0.06622,0,0,0,0,0,0

