type,total ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb
insert,1671,1671,1671,1671,5.3,3.7,14.1,29.8,45.4,64.3,1.0,0.00000,0,0,0,0,0,0
read1,1541,1541,1354,1354,5.7,4.0,15.4,37.7,55.2,60.6,1.0,0.00000,0,0,0,0,0,0
total,3212,3212,3025,3025,5.5,3.9,14.2,33.2,55.2,64.3,1.0,0.00000,0,0,0,0,0,0
insert,5678,4007,4007,4007,6.3,5.1,13.6,27.6,45.0,46.5,2.0,0.29927,0,1,28,28,0,199
read1,5519,3978,3568,3568,6.3,5.2,13.9,28.0,46.3,50.4,2.0,0.29927,0,1,28,28,0,199
total,11197,7985,7575,7575,6.3,5.1,13.7,28.0,46.3,50.4,2.0,0.29927,0,1,28,28,0,199
insert,8650,2972,2972,2972,7.9,5.2,16.5,45.1,180.9,196.2,3.0,0.19615,0,0,0,0,0,0
read1,8761,3242,2907,2907,8.1,5.3,17.4,47.8,180.9,196.3,3.0,0.19615,0,0,0,0,0,0
total,17411,6214,5879,5879,8.0,5.2,17.0,47.2,180.9,196.3,3.0,0.19615,0,0,0,0,0,0
insert,12924,4274,4274,4274,5.7,4.5,12.5,32.2,72.6,74.1,4.0,0.15871,0,1,35,35,0,192
read1,13222,4461,4018,4018,5.8,4.6,13.3,27.6,72.2,74.8,4.0,0.15871,0,1,35,35,0,192
total,26146,8735,8292,8292,5.7,4.5,13.1,31.3,72.2,74.8,4.0,0.15871,0,1,35,35,0,192
insert,17751,4827,4827,4827,5.3,4.0,13.7,26.7,46.2,50.3,5.0,0.13334,0,1,23,23,0,185
read1,17622,4400,4018,4018,5.6,4.2,15.5,27.1,46.0,60.9,5.0,0.13334,0,1,23,23,0,185
total,35373,9227,8845,8845,5.4,4.1,14.5,27.0,46.2,60.9,5.0,0.13334,0,1,23,23,0,185
insert,22569,4818,4818,4818,5.2,3.9,13.8,26.2,39.6,53.4,6.0,0.11716,0,0,0,0,0,0
read1,22440,4818,4408,4408,5.2,3.9,13.7,27.0,42.8,85.2,6.0,0.11716,0,0,0,0,0,0
total,45009,9636,9226,9226,5.2,3.9,13.8,26.5,40.2,85.2,6.0,0.11716,0,0,0,0,0,0
insert,27979,5410,5410,5410,4.4,2.9,12.7,27.0,45.2,56.6,7.0,0.10816,0,1,24,24,0,198
read1,27920,5480,4989,4989,4.8,3.0,14.3,31.1,48.1,63.4,7.0,0.10816,0,1,24,24,0,198
total,55899,10890,10399,10399,4.6,3.0,13.5,30.5,45.5,63.4,7.0,0.10816,0,1,24,24,0,198
insert,33240,5261,5261,5261,4.6,2.7,15.2,32.5,57.6,72.7,8.0,0.09765,0,1,25,25,0,191
read1,33041,5121,4658,4658,4.9,2.8,16.5,34.3,52.1,89.7,8.0,0.09765,0,1,25,25,0,191
total,66281,10382,9919,9919,4.7,2.8,16.1,33.7,57.6,89.7,8.0,0.09765,0,1,25,25,0,191
insert,37552,4312,4312,4312,6.3,3.4,21.8,45.8,74.4,139.7,9.0,0.08647,0,1,48,48,0,196
read1,36880,3839,3490,3490,6.1,3.4,20.6,45.9,72.2,85.1,9.0,0.08647,0,1,48,48,0,196
total,74432,8151,7802,7802,6.2,3.4,21.4,45.8,73.4,139.7,9.0,0.08647,0,1,48,48,0,196
insert,41406,3854,3854,3854,6.4,4.2,20.2,36.1,74.3,86.7,10.0,0.07858,0,0,0,0,0,0
read1,40670,3790,3491,3491,6.6,4.3,20.1,37.6,58.1,93.9,10.0,0.07858,0,0,0,0,0,0
total,82076,7644,7345,7345,6.5,4.2,20.1,37.6,69.1,93.9,10.0,0.07858,0,0,0,0,0,0
insert,46610,5204,5204,5204,4.7,2.8,14.8,32.9,52.7,70.0,11.0,0.07352,0,1,26,26,0,193
read1,45862,5192,4804,4804,4.9,3.0,16.3,32.5,55.6,90.8,11.0,0.07352,0,1,26,26,0,193
total,92472,10396,10008,10008,4.8,2.9,15.4,32.6,55.6,90.8,11.0,0.07352,0,1,26,26,0,193
insert,50114,4785,4785,4785,4.7,2.8,17.0,33.7,47.9,74.6,11.7,0.06880,0,0,0,0,0,0
read1,49886,5495,5106,5106,5.0,2.7,17.9,39.7,55.0,67.0,11.7,0.06880,0,0,0,0,0,0
total,100000,10280,9891,9891,4.9,2.7,17.4,38.3,53.0,74.6,11.7,0.06880,0,0,0,0,0,0
